Time,172.22.0.11,172.22.0.12,172.22.0.13,172.22.0.14,172.22.0.15,172.22.0.16,172.22.0.17,172.22.0.18,172.22.0.19,172.22.0.20,172.22.0.21,172.22.0.22,172.22.0.23,172.22.0.24,172.22.0.25,172.22.0.26,172.22.0.27,172.22.0.28,172.22.0.29,172.22.0.30,172.22.0.31,172.22.0.32,172.22.0.33,172.22.0.34,172.22.0.35,172.22.0.36,172.22.0.37,172.22.0.38,172.22.0.39,172.22.0.40,172.22.0.41,172.22.0.42,172.22.0.43,172.22.0.44,172.22.0.45,172.22.0.46,172.22.0.47,172.22.0.48,172.22.0.49,172.22.0.50,172.22.0.51,172.22.0.52,172.22.0.53,172.22.0.54,172.22.0.55,172.22.0.56,172.22.0.57,172.22.0.58,172.22.0.59,172.22.0.60
120,4,2,21,16,1,20,11,2,2,2,1,4,2,2,2,2,2,4,1,3,1,2,7,3,4,1,1,3,3,3,8,1,3,2,2,9,2,10,3,7,1,3,1,2,1,1,3,7,2,11
125,4,2,21,16,1,20,11,2,2,2,1,4,2,2,2,2,2,4,1,3,1,2,7,3,4,1,1,3,3,3,8,1,3,2,2,9,2,10,3,7,1,3,1,2,1,1,3,7,2,11
130,4,2,21,16,1,10,11,2,2,2,1,4,2,2,2,2,2,4,1,3,1,2,7,3,4,1,1,3,3,3,8,1,3,2,2,9,2,10,3,7,1,3,1,2,1,1,3,7,2,11
135,4,2,21,16,1,10,11,2,2,2,1,4,9,2,2,2,2,4,1,3,1,2,7,3,4,1,1,3,3,3,8,1,3,2,2,9,2,10,3,7,1,3,1,2,1,1,3,7,2,11
140,4,2,21,16,1,9,11,2,10,10,1,4,9,2,2,2,2,4,1,3,1,2,7,3,4,1,1,3,3,3,8,1,3,2,2,9,2,10,3,7,1,3,1,2,1,1,3,7,2,11
145,9,2,21,16,1,9,11,2,10,10,1,4,9,2,2,2,2,4,1,3,1,2,7,3,4,1,1,3,3,3,8,1,3,2,2,1,2,12,3,7,1,3,1,2,1,1,3,7,2,11
150,9,2,21,16,1,8,11,2,10,10,1,4,9,2,2,2,2,4,2,3,2,2,7,3,4,1,1,3,3,3,8,1,3,2,2,1,2,12,3,7,1,3,1,2,1,1,3,7,2,11
155,9,2,21,16,1,8,11,2,10,10,1,4,9,2,2,2,2,4,2,3,2,2,7,3,4,1,1,3,3,3,8,1,3,2,2,1,2,12,3,7,1,3,1,2,1,1,3,7,2,11
160,9,2,21,16,1,8,11,2,10,2,1,4,9,2,2,2,2,4,2,3,2,2,7,3,4,1,1,3,3,3,8,1,3,2,2,1,2,12,3,1,1,3,1,2,1,1,3,7,2,11
165,9,2,21,16,1,1,11,2,10,2,1,4,9,2,2,2,2,4,1,2,1,2,1,3,4,1,1,3,3,3,2,1,3,2,2,1,2,12,3,1,1,3,1,2,1,1,3,7,2,11
170,9,2,21,16,1,1,11,2,10,2,1,4,9,2,2,2,2,4,1,2,1,2,1,3,4,1,1,3,3,3,2,1,3,2,2,6,2,1,3,1,1,3,1,6,1,1,3,6,2,11
175,9,2,21,16,1,1,11,2,10,1,1,4,1,2,2,2,2,4,1,2,1,2,1,3,4,1,1,3,3,3,2,1,3,2,2,6,2,1,3,1,2,3,1,6,1,1,3,6,2,11
180,9,2,21,16,1,1,11,2,10,1,1,4,1,2,2,2,2,4,1,2,1,2,1,3,4,1,1,3,3,3,2,1,3,2,2,6,2,1,3,1,2,3,7,6,1,1,3,6,2,11
185,9,2,21,16,15,1,11,2,1,1,1,4,1,2,2,2,2,4,1,2,1,2,1,3,4,1,1,3,3,3,2,1,3,2,2,6,1,1,3,1,1,3,7,6,1,1,3,6,2,11
190,9,2,21,16,15,2,11,2,1,1,1,4,1,2,2,2,2,4,2,2,2,2,2,3,4,1,1,3,3,3,2,2,3,2,2,6,1,1,3,7,1,3,7,1,1,1,3,1,2,11
195,9,2,21,16,11,2,11,2,14,1,1,4,1,2,2,2,2,4,2,2,2,2,2,3,4,1,1,3,3,3,2,2,3,2,2,7,8,7,3,7,2,3,1,1,1,1,3,1,2,11
200,9,2,21,16,11,2,11,2,14,1,1,4,1,2,2,2,2,4,2,2,1,2,2,3,4,1,1,3,3,3,2,2,3,2,2,7,8,7,3,7,2,3,1,1,1,1,3,1,2,11
205,9,2,21,16,11,2,11,2,14,1,1,4,1,2,2,2,2,4,2,2,1,2,2,3,4,1,1,3,3,3,2,2,3,2,2,7,8,7,3,7,2,3,1,1,1,1,3,1,2,11
210,9,2,21,16,11,2,11,2,2,1,1,4,1,2,2,2,2,4,1,2,1,2,1,3,4,1,1,3,3,3,2,1,3,2,2,7,8,7,3,7,2,3,1,7,1,1,3,1,2,11
215,9,2,21,16,11,2,11,2,2,1,1,4,1,2,2,2,2,4,1,2,1,2,1,3,4,1,1,3,3,3,2,1,3,2,2,7,8,7,3,7,2,3,1,7,1,1,3,1,2,11
220,9,2,21,16,11,2,11,2,2,1,1,4,1,2,2,2,2,4,1,2,1,2,1,3,4,1,1,3,3,3,2,1,3,2,2,7,8,7,3,7,2,3,1,7,1,1,3,1,2,11
225,9,2,21,16,11,2,11,2,2,1,1,4,1,2,2,2,2,4,1,2,1,2,1,3,4,1,1,3,3,3,2,1,3,2,2,7,8,7,3,7,2,3,1,7,1,1,3,1,2,11
230,9,2,21,16,11,2,11,2,2,1,1,4,1,2,2,2,2,4,1,2,1,2,1,3,4,1,1,3,3,3,2,1,3,2,2,7,8,7,3,7,2,3,1,7,1,1,3,1,2,11
235,9,2,21,16,11,2,11,2,2,1,1,4,1,2,2,2,2,4,1,2,1,2,1,3,4,1,1,3,3,3,2,1,3,2,2,7,8,7,3,7,2,3,1,7,1,1,3,1,2,11
240,9,2,21,16,11,1,11,2,1,1,1,4,1,2,2,2,2,4,1,2,2,2,1,3,4,1,1,3,3,3,2,1,3,2,2,7,8,7,3,3,2,3,1,7,1,1,3,1,2,11
245,9,2,21,16,11,1,11,1,1,1,1,4,1,2,2,2,2,4,1,2,2,2,1,3,4,1,1,3,3,3,2,1,3,2,2,2,8,2,3,3,2,3,1,3,1,1,3,1,2,11
250,9,2,21,16,1,1,11,1,1,1,1,4,1,2,2,2,2,4,1,2,1,2,1,3,4,1,1,3,3,3,2,1,3,2,2,2,3,2,3,3,2,3,1,3,1,1,3,1,2,11
255,9,2,21,16,1,1,11,1,1,1,1,4,1,2,2,2,2,4,1,2,1,2,3,3,4,1,1,3,3,3,2,1,3,2,2,2,3,2,3,2,2,3,1,3,1,1,3,1,2,11
260,9,2,21,16,1,1,11,1,1,1,1,4,1,2,2,2,2,4,1,2,1,2,3,3,4,1,1,3,3,3,2,1,3,2,2,2,3,2,3,2,2,3,1,3,1,1,3,1,2,11
265,9,2,21,16,1,18,11,1,6,1,1,4,1,2,8,2,2,4,1,2,1,2,3,3,4,1,1,3,3,3,2,3,3,2,2,2,3,2,3,3,2,3,1,2,1,1,3,1,2,11
270,12,2,21,16,1,18,11,18,6,1,1,4,1,2,8,2,2,4,1,2,1,2,3,3,4,1,1,3,3,3,2,3,3,2,2,5,3,2,3,3,2,3,1,2,1,1,3,1,2,11
275,12,2,21,16,2,18,11,18,6,1,1,4,1,2,8,2,2,4,1,2,1,2,3,3,4,1,1,3,3,3,2,3,3,2,2,5,2,2,3,3,1,3,1,2,1,1,3,1,2,11
